term,outcome,estimate_v1,p_v1,fmi_v1,estimate_v2,p_v2,fmi_v2,delta_beta,delta_p
worry_health_fear,z_depression,-0.0106,0.3949,0.08988430739473403,-0.011346841393824435,0.3553510237427746,0.0574487560721059,-7e-4,-0.0395
worry_economic,z_depression,0.0284,0.006,0.10677156713277468,0.028165675231851706,0.006415289215510711,0.10345566222454516,-2e-4,4e-4
worry_basic_needs,z_depression,0.0743,2e-4,0.05245425550624873,0.07417483555130926,1.8830340942166401e-4,0.0444776066318569,-1e-4,-0
worry_social,z_depression,0.051,0,0.05645038278502857,0.05209486415931174,1.0938631544998856e-5,0.050151658564825466,0.0011,0
worry_safety_stigma,z_depression,0.0906,0.0014,0.09810777303575025,0.09243729601194578,7.899445002790273e-4,0.04946170942281919,0.0018,-6e-4
worry_health_fear,z_anxiety,0.0551,0,0.13180621530955236,0.054640591948783034,1.2846650930153913e-5,0.08092331036269006,-5e-4,0
worry_economic,z_anxiety,0.0129,0.2227,0.1175347024929674,0.014137176117868962,0.19110324707291637,0.15565996110336036,0.0012,-0.0316
worry_basic_needs,z_anxiety,0.0373,0.0676,0.09840515193454703,0.03514064690870181,0.0816246445758475,0.07699362956645794,-0.0022,0.014
worry_social,z_anxiety,0.0427,4e-4,0.06697967350090085,0.042108041021547554,4.719148731990863e-4,0.07064607865702978,-6e-4,1e-4
worry_safety_stigma,z_anxiety,0.0746,0.008,0.09074817482645368,0.07850691175839218,0.0042075201230435955,0.042672844814221865,0.0039,-0.0038
worry_health_fear,z_stress,0.03,0.0157,0.10038038549289008,0.02970124328582669,0.014776210540754953,0.0655958660544997,-3e-4,-9e-4
worry_economic,z_stress,0.033,0.0014,0.12238123041080416,0.03438943499167765,0.0011262889555825328,0.16011879863188735,0.0014,-3e-4
worry_basic_needs,z_stress,0.0469,0.0191,0.07999719629612224,0.045141678398323754,0.023255478452310907,0.06970477303935248,-0.0018,0.0042
worry_social,z_stress,0.068,0,0.05870678087112627,0.0676524897094607,9.9380221829648e-9,0.06478486105082432,-3e-4,0
worry_safety_stigma,z_stress,0.0213,0.4441,0.09065682351328096,0.022287359390164373,0.413658293259076,0.05330390344140714,0.001,-0.0304
