"","age","education","comorbidity","worry_health_fear","worry_economic","worry_basic_needs","worry_social","worry_safety_stigma","livelihood_disruption","perceived_risk","risk_self","health_trust","z_depression","z_anxiety","z_stress"
"age",1,-0.223018740311133,0.293065749437954,0.00248965715254385,-0.0277834185204383,-0.0349537462712266,0.00570264416361524,-0.0150195597050179,-0.0667886768997082,0.0423075902084124,-0.0127439675640606,-0.0108951729757571,-0.128753934237178,-0.0817319061097403,-0.087987468580229
"education",-0.223018740311133,1,-0.0665104905115922,-0.0101037932927391,-0.0698289831999626,-0.157020420217325,-0.00978404302367698,-0.0804287394765962,-0.0269679927149165,0.0904682050532526,-0.0706821979756406,0.10025945491533,0.00825929737057947,0.00714440783661345,0.054729863666228
"comorbidity",0.293065749437954,-0.0665104905115922,1,0.140381718748699,0.0623883174568442,0.0872694082217625,-0.00109102019174208,0.0893714634496919,-0.0611734488774831,0.0903866065473253,0.0201478344131914,-0.116117251179148,0.149907907884772,0.184505538738867,0.185258971935798
"worry_health_fear",0.00248965715254385,-0.0101037932927391,0.140381718748699,1,0.515469185774287,0.568442646946511,0.384809381248513,0.610987855635525,0.083171506064299,0.319186106276413,0.134503471433672,-0.181709954709643,0.268216248837002,0.372472725943867,0.36054894554362
"worry_economic",-0.0277834185204383,-0.0698289831999626,0.0623883174568442,0.515469185774287,1,0.689921942359036,0.526393270799325,0.550160067560909,0.28271981207733,0.142325958613631,0.0870451024666634,-0.200765488598539,0.338321516936492,0.310535187249904,0.357666597948295
"worry_basic_needs",-0.0349537462712266,-0.157020420217325,0.0872694082217625,0.568442646946511,0.689921942359036,1,0.416109725965521,0.696254891643684,0.170076015970205,0.128114393815435,0.112120612508189,-0.334914692795985,0.368736803264699,0.338656242376456,0.356759585698525
"worry_social",0.00570264416361524,-0.00978404302367698,-0.00109102019174208,0.384809381248513,0.526393270799325,0.416109725965521,1,0.286231436924424,0.20796081427926,0.141837163338385,0.0593973178752707,-0.17660214378327,0.275723451291793,0.276821283612129,0.352598527108512
"worry_safety_stigma",-0.0150195597050179,-0.0804287394765962,0.0893714634496919,0.610987855635525,0.550160067560909,0.696254891643684,0.286231436924424,1,0.086438569473906,0.196405771395816,0.145236023896583,-0.187841819295233,0.343368406344382,0.340967606778946,0.31618202702079
"livelihood_disruption",-0.0667886768997082,-0.0269679927149165,-0.0611734488774831,0.083171506064299,0.28271981207733,0.170076015970205,0.20796081427926,0.086438569473906,1,0.0611915821760135,0.0481855612688108,-0.0608472588509982,0.135443978567459,0.0952702818857778,0.113611241107635
"perceived_risk",0.0423075902084124,0.0904682050532526,0.0903866065473253,0.319186106276413,0.142325958613631,0.128114393815435,0.141837163338385,0.196405771395816,0.0611915821760135,1,0.162488353568027,-0.0146777199375715,0.167899197709152,0.249028883206049,0.220355728656352
"risk_self",-0.0127439675640606,-0.0706821979756406,0.0201478344131914,0.134503471433672,0.0870451024666634,0.112120612508189,0.0593973178752707,0.145236023896583,0.0481855612688108,0.162488353568027,1,0.149105705604554,0.0705814174569862,0.126874284176986,0.118743742007954
"health_trust",-0.0108951729757571,0.10025945491533,-0.116117251179148,-0.181709954709643,-0.200765488598539,-0.334914692795985,-0.17660214378327,-0.187841819295233,-0.0608472588509982,-0.0146777199375715,0.149105705604554,1,-0.0893451054183638,-0.0855847671687892,-0.143600787233287
"z_depression",-0.128753934237178,0.00825929737057947,0.149907907884772,0.268216248837002,0.338321516936492,0.368736803264699,0.275723451291793,0.343368406344382,0.135443978567459,0.167899197709152,0.0705814174569862,-0.0893451054183638,1,0.751106661008354,0.812335210595937
"z_anxiety",-0.0817319061097403,0.00714440783661345,0.184505538738867,0.372472725943867,0.310535187249904,0.338656242376456,0.276821283612129,0.340967606778946,0.0952702818857778,0.249028883206049,0.126874284176986,-0.0855847671687892,0.751106661008354,1,0.800838171918984
"z_stress",-0.087987468580229,0.054729863666228,0.185258971935798,0.36054894554362,0.357666597948295,0.356759585698525,0.352598527108512,0.31618202702079,0.113611241107635,0.220355728656352,0.118743742007954,-0.143600787233287,0.812335210595937,0.800838171918984,1
