term,outcome,estimate,se,df,p_value,fmi,p_adj,p_adj_family15
(Intercept),z_depression,0.5584,0.2673,68365.7,0.0367,0.021,NA,NA
countryNepal,z_depression,-0.2662,0.1902,2469699.9,0.1617,0.003,NA,NA
countryVietnam,z_depression,0.1125,0.2055,325434.5,0.5843,0.009,NA,NA
age,z_depression,-0.0116,0.0022,26845.6,0,0.033,NA,NA
female1,z_depression,0.0318,0.0512,48442.9,0.534,0.025,NA,NA
ethnicity_minority1,z_depression,0.0502,0.0651,629.1,0.441,0.217,NA,NA
education,z_depression,-0.0163,0.0191,256224.6,0.3934,0.011,NA,NA
employmentPart-time/casual,z_depression,0.0046,0.0594,20233.4,0.9381,0.038,NA,NA
employmentStudent,z_depression,0.3928,0.1285,3555,0.0023,0.091,NA,NA
employmentNot working,z_depression,0.0117,0.0665,6291.6,0.8603,0.068,NA,NA
comorbidity,z_depression,0.2304,0.0361,249838,0,0.011,NA,NA
gen_health,z_depression,-0.1387,0.0336,516346.5,0,0.007,NA,NA
perceived_risk,z_depression,0.0119,0.0039,93105.5,0.0025,0.018,NA,NA
risk_self,z_depression,-5e-4,0.0387,123373.1,0.9887,0.015,NA,NA
health_trust,z_depression,-0.0152,0.0148,14812.6,0.30620000000000003,0.044,NA,NA
worry_health_fear,z_depression,-0.0106,0.0125,3629.8,0.3949,0.09,0.3949,0.4231071428571428
worry_economic,z_depression,0.0284,0.0103,2577.2,0.006,0.107,0.0075,0.01125
worry_basic_needs,z_depression,0.0743,0.0199,10612,2e-4,0.052,5e-4,7.5e-4
worry_social,z_depression,0.051,0.0119,9167.2,0,0.056,0,0
worry_safety_stigma,z_depression,0.0906,0.0283,3049.6,0.0014,0.098,0.0023333333333333335,0.003
livelihood_disruption,z_depression,0.0157,0.0092,218162.1,0.088,0.012,NA,NA
(Intercept),z_anxiety,0.4747,0.2333,24527.7,0.0419,0.034,NA,NA
countryNepal,z_anxiety,-0.2523,0.0872,57382.5,0.0038,0.023,NA,NA
countryVietnam,z_anxiety,-0.311,0.0946,12654.9,0.001,0.048,NA,NA
age,z_anxiety,-0.0112,0.0022,8937.7,0,0.057,NA,NA
female1,z_anxiety,0.0346,0.0511,92876.3,0.4981,0.018,NA,NA
ethnicity_minority1,z_anxiety,0.0458,0.0656,462.9,0.4851,0.254,NA,NA
education,z_anxiety,0.0121,0.0191,58267.2,0.5259,0.022,NA,NA
employmentPart-time/casual,z_anxiety,-0.0228,0.0616,4636.6,0.7118,0.079,NA,NA
employmentStudent,z_anxiety,0.2008,0.1289,7238.7,0.1194,0.064,NA,NA
employmentNot working,z_anxiety,0.0041,0.0692,2259.4,0.9522,0.114,NA,NA
comorbidity,z_anxiety,0.2481,0.0366,307130.6,0,0.01,NA,NA
gen_health,z_anxiety,-0.177,0.0342,459410,0,0.008,NA,NA
perceived_risk,z_anxiety,0.0188,0.004,87978.1,0,0.018,NA,NA
risk_self,z_anxiety,0.0577,0.0392,78558.7,0.1409,0.019,NA,NA
health_trust,z_anxiety,0.0112,0.015,15108.1,0.4562,0.044,NA,NA
worry_health_fear,z_anxiety,0.0551,0.0129,1695.5,0,0.132,0,0
worry_economic,z_anxiety,0.0129,0.0106,2129.2,0.2227,0.118,0.2227,0.25696153846153846
worry_basic_needs,z_anxiety,0.0373,0.0204,3031.3,0.0676,0.098,0.08449999999999999,0.08449999999999999
worry_social,z_anxiety,0.0427,0.012,6519.7,4e-4,0.067,0.001,0.0012000000000000001
worry_safety_stigma,z_anxiety,0.0746,0.0281,3561.4,0.008,0.091,0.013333333333333334,0.013333333333333334
livelihood_disruption,z_anxiety,0.0065,0.0094,80260.7,0.49,0.019,NA,NA
(Intercept),z_stress,0.34,0.2661,47918.3,0.2014,0.025,NA,NA
countryNepal,z_stress,-0.2371,0.1912,2902728.1,0.2149,0.003,NA,NA
countryVietnam,z_stress,-0.0201,0.207,192628.1,0.9226,0.012,NA,NA
age,z_stress,-0.0097,0.0022,7754.3,0,0.061,NA,NA
female1,z_stress,0.1513,0.0504,56528.1,0.0027,0.023,NA,NA
ethnicity_minority1,z_stress,-0.0243,0.0659,446.1,0.7127,0.258,NA,NA
education,z_stress,0.0081,0.0191,38133.5,0.6694,0.028,NA,NA
employmentPart-time/casual,z_stress,-0.0115,0.0592,8954.2,0.8459,0.057,NA,NA
employmentStudent,z_stress,0.1552,0.1256,5447.8,0.2167,0.073,NA,NA
employmentNot working,z_stress,-0.06,0.0681,1595.9,0.3786,0.136,NA,NA
comorbidity,z_stress,0.2424,0.0356,220791.4,0,0.011,NA,NA
gen_health,z_stress,-0.1259,0.0332,1067277.9,1e-4,0.005,NA,NA
perceived_risk,z_stress,0.014,0.0039,96337.3,3e-4,0.017,NA,NA
risk_self,z_stress,0.0838,0.0382,124761.8,0.0281,0.015,NA,NA
health_trust,z_stress,-0.0359,0.0145,26123.3,0.0136,0.033,NA,NA
worry_health_fear,z_stress,0.03,0.0124,2913.8,0.0157,0.1,0.023875,0.023549999999999998
worry_economic,z_stress,0.033,0.0103,1964.8,0.0014,0.122,0.0035,0.003
worry_basic_needs,z_stress,0.0469,0.02,4577.4,0.0191,0.08,0.023875,0.026045454545454542
worry_social,z_stress,0.068,0.0117,8478.4,0,0.059,0,0
worry_safety_stigma,z_stress,0.0213,0.0278,3568.6,0.4441,0.091,0.4441,0.4441
livelihood_disruption,z_stress,0.0041,0.0091,100561.3,0.6524,0.017,NA,NA
