outcome,term,drop_1,drop_2,drop_3,drop_4,drop_5,drop_6,drop_7,drop_8,drop_9,drop_10,drop_11,drop_12,drop_13
z_anxiety,worry_basic_needs,0.03371376755572606,0.031935152113830315,0.033354730858164726,0.02473411706105874,0.04703397666001324,0.034774608422076775,0.05416303331960487,0.03172140554956801,0.0546820963466532,0.04080026103453917,0.038792144395669324,0.04313408334861056,0.017422591909832856
z_anxiety,worry_economic,0.021675713184586443,0.02526494101119039,0.022376240491049387,0.026983451358782867,0.029098032182893342,0.027904310462542964,-0.0026241292103003993,0.028268564291675995,0.024702759190138406,0.02661623540069656,0.028769932033230177,0.019320719077592783,0.028596372868909203
z_anxiety,worry_health_fear,0.03519662920133428,0.06792566992402777,0.04134475184515495,0.040238684897467784,0.012303235198367683,0.039760666975544215,0.029920571462323867,0.03248948446332262,0.0348256261756567,0.02651974006677826,0.03749225676011823,0.0369393520999235,0.027259511245912367
z_anxiety,worry_safety_stigma,0.10793064126047888,0.0834157899359661,0.10436734078038211,0.11251751589802103,0.09850370648266842,0.0950345766438892,0.17385968601738916,0.1055094376378087,0.0825709601036682,0.07817011199447829,0.0899657853981554,0.09221251818350348,0.12433987651375107
z_anxiety,worry_social,0.03540825234554276,0.016300299960174628,0.02665151223058818,0.02708449197192524,0.028059066696602453,0.025817375938465097,0.03438388723622579,0.030677850372751864,0.029503347339131885,0.028983503112032273,0.025707689545681003,0.014118673039558388,0.040500478023282355
z_depression,worry_basic_needs,0.049758788520674585,0.05816273662550453,0.06800732350877924,0.06708841884523015,0.07131417550048426,0.0686961061341943,0.05627676846080072,0.0683604194377436,0.08188537683815884,0.06289770458875955,0.06630983014024035,0.06759025975556605,0.060302952905082
z_depression,worry_economic,0.03491998757971401,0.049807171056772806,0.03982250398028997,0.045119093891887146,0.03976800826057181,0.045464821248574455,0.015375577953724151,0.04206600346046284,0.04700433976900303,0.04385878878462432,0.04425319462047155,0.04100863627222878,0.04842481491820835
z_depression,worry_health_fear,-0.051842923321597144,-0.02635725690337565,-0.049147675893965306,-0.04666077017474829,-0.030176448768664196,-0.04770100362131405,-0.029190965442811665,-0.055323959355535676,-0.06245914439515918,-0.055358637100400815,-0.05135194910535433,-0.04597672105612844,-0.06350746143633995
z_depression,worry_safety_stigma,0.18320993281405168,0.13864246634498736,0.145698823805377,0.16720173291549034,0.13327606698820207,0.14786170826802444,0.1347421790552284,0.15617386801449323,0.15135034755944082,0.14045595268503927,0.15069260243486254,0.15034562208251134,0.16392995181848627
z_depression,worry_social,0.052829479845143884,0.03486684385927661,0.0418457656790536,0.025912156311704335,0.03859127642232956,0.03788362754827027,0.05794762009947364,0.04335733433089192,0.04032422841181411,0.046828654914906766,0.041209455423159964,0.035138252682448454,0.04830570162252723
z_stress,worry_basic_needs,0.035700401303017784,0.054330544841162176,0.043199811982763195,0.053854573148925416,0.059255255709604784,0.053280590999612666,0.06140857319480562,0.058480682467731866,0.07362592423262679,0.051117341250570235,0.054528887895400766,0.05611993230428427,0.038790954911116254
z_stress,worry_economic,0.04739298491021832,0.05075902431933358,0.04937839819960665,0.05175873659310895,0.0516136528295111,0.05118721847013497,0.02048821531390336,0.04650654473011767,0.05320194578638565,0.05374685281036387,0.05237999671901599,0.04598298346390033,0.053532434526576834
z_stress,worry_health_fear,-0.0044555442078265985,0.02705367649508772,-0.0010554522773124696,0.00595229383710737,-0.01730040977912585,-7.871573933794484e-4,0.010785999996831986,-0.004989218594358821,-0.014556560805164181,5.139650824290864e-4,-0.0024031833749227917,0.0031130163087089288,-0.010185135129267777
z_stress,worry_safety_stigma,0.050784074179452236,0.017522772316488255,0.03336156304246365,0.03202654986384497,0.030617325581605712,0.02845970380431603,0.049140924142432645,0.02967911042419852,0.0296853947364916,0.00802833486735707,0.026193827276108788,0.026530565930641688,0.04836453943160101
z_stress,worry_social,0.055043134028294805,0.04063248437398608,0.04914228415102664,0.035450386416126495,0.04825492615547925,0.044055036160917486,0.05626946940661546,0.04594974352608223,0.04455777004294971,0.050542414327593044,0.04129959684650704,0.03463767193777751,0.05535035210974834
