outcome,term,beta_logOR,se,OR,OR_lo,OR_hi,p,p_adj_BH,sig_BH
depression (bin),worry_health_fear,-0.0944,0.0579,0.91,0.812,1.019,0.103,0.2575,
depression (bin),worry_economic,0.0783,0.0403,1.081,0.999,1.17,0.05184,0.2575,
depression (bin),worry_basic_needs,0.2315,0.0922,1.261,1.052,1.51,0.01208,0.1812,
depression (bin),worry_social,0.0613,0.0524,1.063,0.959,1.178,0.2422,0.362,
depression (bin),worry_safety_stigma,0.1271,0.1124,1.135,0.911,1.415,0.2582,0.362,
anxiety (bin),worry_health_fear,0.0707,0.0494,1.073,0.974,1.182,0.1524,0.3266,
anxiety (bin),worry_economic,0.0669,0.0373,1.069,0.994,1.15,0.07315,0.2575,
anxiety (bin),worry_basic_needs,0.1329,0.0797,1.142,0.977,1.335,0.09523,0.2575,
anxiety (bin),worry_social,0.0016,0.0468,1.002,0.914,1.098,0.9735,0.9735,
anxiety (bin),worry_safety_stigma,0.0955,0.098,1.1,0.908,1.333,0.3298,0.4122,
stress (bin),worry_health_fear,0.0529,0.0654,1.054,0.927,1.198,0.4189,0.4833,
stress (bin),worry_economic,0.0998,0.0528,1.105,0.996,1.225,0.05882,0.2575,
stress (bin),worry_basic_needs,0.1348,0.1211,1.144,0.903,1.451,0.2655,0.362,
stress (bin),worry_social,0.0809,0.0658,1.084,0.953,1.233,0.2186,0.362,
stress (bin),worry_safety_stigma,-0.0698,0.1414,0.933,0.707,1.23,0.6214,0.6658,
