term,outcome,estimate,std.error,fmi,p.value
ethnicity_minority1,Stress,-0.0243,0.0659,0.258,0.7127
ethnicity_minority1,Anxiety,0.0458,0.0656,0.254,0.4851
ethnicity_minority1,Depression,0.0502,0.0651,0.217,0.441
employmentNot working,Stress,-0.06,0.0681,0.136,0.3786
worry_health_fear,Anxiety,0.0551,0.0129,0.132,0
worry_economic,Stress,0.033,0.0103,0.122,0.0014
worry_economic,Anxiety,0.0129,0.0106,0.118,0.2227
employmentNot working,Anxiety,0.0041,0.0692,0.114,0.9522
worry_economic,Depression,0.0284,0.0103,0.107,0.006
worry_health_fear,Stress,0.03,0.0124,0.1,0.0157
worry_safety_stigma,Depression,0.0906,0.0283,0.098,0.0014
worry_basic_needs,Anxiety,0.0373,0.0204,0.098,0.0676
employmentStudent,Depression,0.3928,0.1285,0.091,0.0023
worry_safety_stigma,Anxiety,0.0746,0.0281,0.091,0.008
worry_safety_stigma,Stress,0.0213,0.0278,0.091,0.4441
worry_health_fear,Depression,-0.0106,0.0125,0.09,0.3949
worry_basic_needs,Stress,0.0469,0.02,0.08,0.0191
employmentPart-time/casual,Anxiety,-0.0228,0.0616,0.079,0.7118
employmentStudent,Stress,0.1552,0.1256,0.073,0.2167
employmentNot working,Depression,0.0117,0.0665,0.068,0.8603
worry_social,Anxiety,0.0427,0.012,0.067,4e-4
employmentStudent,Anxiety,0.2008,0.1289,0.064,0.1194
age,Stress,-0.0097,0.0022,0.061,0
worry_social,Stress,0.068,0.0117,0.059,0
age,Anxiety,-0.0112,0.0022,0.057,0
employmentPart-time/casual,Stress,-0.0115,0.0592,0.057,0.8459
worry_social,Depression,0.051,0.0119,0.056,0
worry_basic_needs,Depression,0.0743,0.0199,0.052,2e-4
countryVietnam,Anxiety,-0.311,0.0946,0.048,0.001
health_trust,Depression,-0.0152,0.0148,0.044,0.30620000000000003
health_trust,Anxiety,0.0112,0.015,0.044,0.4562
employmentPart-time/casual,Depression,0.0046,0.0594,0.038,0.9381
(Intercept),Anxiety,0.4747,0.2333,0.034,0.0419
age,Depression,-0.0116,0.0022,0.033,0
health_trust,Stress,-0.0359,0.0145,0.033,0.0136
education,Stress,0.0081,0.0191,0.028,0.6694
female1,Depression,0.0318,0.0512,0.025,0.534
(Intercept),Stress,0.34,0.2661,0.025,0.2014
countryNepal,Anxiety,-0.2523,0.0872,0.023,0.0038
female1,Stress,0.1513,0.0504,0.023,0.0027
education,Anxiety,0.0121,0.0191,0.022,0.5259
(Intercept),Depression,0.5584,0.2673,0.021,0.0367
risk_self,Anxiety,0.0577,0.0392,0.019,0.1409
livelihood_disruption,Anxiety,0.0065,0.0094,0.019,0.49
perceived_risk,Depression,0.0119,0.0039,0.018,0.0025
female1,Anxiety,0.0346,0.0511,0.018,0.4981
perceived_risk,Anxiety,0.0188,0.004,0.018,0
perceived_risk,Stress,0.014,0.0039,0.017,3e-4
livelihood_disruption,Stress,0.0041,0.0091,0.017,0.6524
risk_self,Depression,-5e-4,0.0387,0.015,0.9887
risk_self,Stress,0.0838,0.0382,0.015,0.0281
livelihood_disruption,Depression,0.0157,0.0092,0.012,0.088
countryVietnam,Stress,-0.0201,0.207,0.012,0.9226
education,Depression,-0.0163,0.0191,0.011,0.3934
comorbidity,Depression,0.2304,0.0361,0.011,0
comorbidity,Stress,0.2424,0.0356,0.011,0
comorbidity,Anxiety,0.2481,0.0366,0.01,0
countryVietnam,Depression,0.1125,0.2055,0.009,0.5843
gen_health,Anxiety,-0.177,0.0342,0.008,0
gen_health,Depression,-0.1387,0.0336,0.007,0
gen_health,Stress,-0.1259,0.0332,0.005,1e-4
countryNepal,Depression,-0.2662,0.1902,0.003,0.1617
countryNepal,Stress,-0.2371,0.1912,0.003,0.2149
