term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
worry_basic_needs:health_trust,-0.002585611654286303,0.012986226385099697,-0.19910415678976728,0.8466178524000239,-0.03197399617807999,0.026802772869507385,8.976955679813837,Depression
health_trust:worry_safety_stigma,0.004680498701387807,0.02288298086587296,0.20454060285337092,0.8436317171925458,-0.049199448327439214,0.05856044573021483,7.150290980549319,Depression
worry_basic_needs:health_trust,0.0025899215203940406,0.010956785171641033,0.23637604277369798,0.8184461237860085,-0.022205750926703488,0.027385593967491573,8.976955679813837,Anxiety
health_trust:worry_safety_stigma,0.025035157020354283,0.01944118392996682,1.2877382936419248,0.23794587793806687,-0.020740783031515997,0.07081109707222456,7.150290980549319,Anxiety
worry_basic_needs:health_trust,-0.014859122577445661,0.01337264814906002,-1.1111578209354238,0.2953735177206289,-0.0451219960444368,0.015403750889545475,8.976955679813837,Stress
health_trust:worry_safety_stigma,0.01960755256588727,0.02737477348929959,0.7162635546026193,0.49654999355142326,-0.044848706615332495,0.08406381174710703,7.150290980549319,Stress
worry_basic_needs:countryNepal,0.044845861323484025,0.07827767358808246,0.5729074366654615,0.6196493207028623,-0.26306968437945244,0.35276140702642045,2.210015178284437,Depression
worry_basic_needs:countryVietnam,-0.008523336802161437,0.06716355741300195,-0.12690418927261043,0.9073842710652643,-0.2279012506801003,0.21085457707577743,2.8688962235094437,Depression
countryNepal:worry_safety_stigma,-0.18824664167671273,0.10961860438066393,-1.717287341325779,0.2257125368841884,-0.6514955568660851,0.2750022735126596,2.038347461071142,Depression
countryVietnam:worry_safety_stigma,-0.18181697970882738,0.1026661904148777,-1.770952822678026,0.1841533598827219,-0.528623319821874,0.1649893604042193,2.717556134648934,Depression
worry_basic_needs:countryNepal,0.06672320682525885,0.1051831458439559,0.6343526454727437,0.5852697800226049,-0.34702856001600985,0.4804749736665275,2.210015178284437,Anxiety
worry_basic_needs:countryVietnam,0.09369694957273193,0.099249922164302,0.9440506101115377,0.4176624629737089,-0.23048541532292766,0.41787931446839155,2.8688962235094437,Anxiety
countryNepal:worry_safety_stigma,-0.467892966921138,0.11597696350348856,-4.034361245430123,0.05454077579122424,-0.9580123479650504,0.02222641412277432,2.038347461071142,Anxiety
countryVietnam:worry_safety_stigma,-0.5861366369208939,0.10509747277642598,-5.577076417125494,0.01472944296436552,-0.9411558476409303,-0.2311174262008575,2.717556134648934,Anxiety
worry_basic_needs:countryNepal,0.0867140839127347,0.1032734468479073,0.8396551733229174,0.48212566981677857,-0.3195256302378651,0.49295379806333456,2.210015178284437,Stress
worry_basic_needs:countryVietnam,0.006694501170883083,0.10876234961627344,0.061551641671056964,0.954955061213456,-0.34855853018004607,0.3619475325218123,2.8688962235094437,Stress
countryNepal:worry_safety_stigma,-0.25795777962131616,0.11092890795019826,-2.3254333283180504,0.14322092271283865,-0.726744045980091,0.2108284867374587,2.038347461071142,Stress
countryVietnam:worry_safety_stigma,-0.25399889232411815,0.1061319475843213,-2.3932368914865836,0.10542385714098036,-0.6125125584302515,0.10451477378201518,2.717556134648934,Stress
